"product_name","product_brand","units_sold","revenue"
"The North Face Apex Bionic Soft Shell Jacket - Men's","The North Face","26","23478"
"NIKE WOMEN'S PRO COMPRESSION SPORTS BRA *Outstanding Support and Comfort*","Nike","18","16254"
"Canada Goose Men's The Chateau Jacket","Canada Goose","19","15485"
"Canada Goose Women's Solaris","Canada Goose","20","13900"
"The North Face Apex Bionic Mens Soft Shell Ski Jacket 2013","The North Face","15","13545"
"Canada Goose Women's Mystique","Canada Goose","16","12000"
"Nobis Merideth Parka","Nobis","14","11130"
"The North Face Denali Down Womens Jacket 2013","The North Face","12","10836"
"True Religion Men's Ricky Straight Jean","True Religion","37","9471.550109863281"
"Diesel Men's Shioner Skinny Straight Leg Jean","Diesel","31","9175.349960327148"
"The North Face Nuptse 2 Jacket Deep Water Blue Mens","The North Face","10","9030"
"JORDAN DURASHEEN SHORT MENS 404309-109","Jordan","9","8127"
"AIR JORDAN DOMINATE SHORTS MENS 465071-100","Jordan","9","8127"
"Quiksilver Men's Rockefeller Walkshort","Quiksilver","9","8127"
"Nobis Yatesy Parka","Nobis","8","7600"
"Nike Jordan Retro 11 Bred Bootie Socks","Jordan","8","7224"
"Catherine Malandrino Women's Skinny Stretch Leather Pant","Catherine Malandrino","8","7160"
"Canada Goose Women's Expedition Parka","Canada Goose","9","7155"
"Rebecca Taylor Women's Lace Dress","Rebecca Taylor","18","7110"
"Darla","Alpha Industries","7","6993"
"True Religion Women's Casey Stretch Leather Pants","True Religion","10","6950"
"Nobis Men's Cartel Jacket","Nobis","9","6750"
"7 For All Mankind Men's Standard Classic Straight Leg Jean","7 For All Mankind","41","6582"
"Canada Goose Men's Citadel Parka","Canada Goose","8","6360"
"adidas Women's adiFIT Slim Pant","adidas","7","6321"
"Harris Tweed Wool Jacket-Dougal Limited Edition","The Harris Tweed Of Scotland","10","6000"
"7 For All Mankind Men's Ombre Plaid Blazer","7 For All Mankind","15","5970"
"Woolrich Arctic Parka DF","Woolrich","6","5940"
"Mountain Hardwear Men's Nilas Down Jacket","Mountain Hardwear","9","5850"
"Ben Sherman Men's Side Vent 2 Piece Suit","Ben Sherman","11","5445"
"The North Face Apex Bionic Jacket - Men's","The North Face","6","5418"
"The North Face Denali Down Mens Jacket 2013","The North Face","6","5418"
"Oakley Men's Racing Jacket Oval Sunglasses","Oakley","21","5400"
